0.1	0.1	0.3	0	0	0.3	0.25	0.2	0.1	0	0
0.1	0.1	0.3	0	0	0.3	0.25	0.2	0.1	0	0
0.2	0.2	0.4	0.1	0.1	0.4	0.35	0.3	0.2	0.1	0.1
0.15	0.15	0.35	0.05	0.05	0.35	0.3	0.25	0.15	0.05	0.05
0.3	0.3	0.5	0.2	0.2	0.5	0.45	0.4	0.3	0.2	0.2
0.1	0.1	0.3	0	0	0.3	0.25	0.2	0.1	0	0
0.05	0.05	0.25	-0.05	-0.05	0.25	0.2	0.15	0.05	-0.05	-0.05
0.25	0.25	0.45	0.15	0.15	0.45	0.4	0.35	0.25	0.15	0.15
0.175	0.175	0.375	0.075	0.075	0.375	0.325	0.275	0.175	0.075	0.075
0.1	0.1	0.3	0	0	0.3	0.25	0.2	0.1	0	0
0.1	0.1	0.3	0	0	0.3	0.25	0.2	0.1	0	0
